"First, you get educated. Then you get results. Congrats to this client for her first 30 pounds lost! \n\nTo learn mor\u2026 https://t.co/BRx2iKAGop",2021-02-09 17:32:49.805726976,MetroVancouver,Negative
"@LeafRollin I was doxxed by former TSN staff and their groupies.\n\nDidn't lose my job, but they put my place of work\u2026 https://t.co/TMFueKVM6l",2021-02-09 17:32:53.163503872,MetroVancouver,Positive
I saw a lot of people complaining about The Midnight Sky on here so I thought I should do a review!\n\nRegardless of\u2026 https://t.co/DMvEaNlmLG,2021-02-09 17:32:55.664623872,MetroVancouver,Positive
@Zoica_ns2 \ud83e\udd2a,2021-02-09 17:32:59.867209984,MetroVancouver,Negative
@MukeshSharmaMLA @naseruddin_shah Let\u2019s hope so sharme ji...more power to every true voice like you!\u2026 https://t.co/NpGeJ4Jn0O,2021-02-09 17:33:12.917726976,MetroVancouver,Positive
"@kellywo90677213 @realjuliasong She\u2019s above the law, a politico.",2021-02-09 17:33:51.776897792,MetroVancouver,Negative
@ohnikkers i\u2019m so sorry. i\u2019m so so sorry.,2021-02-09 17:34:13.918929152,MetroVancouver,Negative
TSN 1040 https://t.co/gDugeh5TVo,2021-02-09 17:34:20.254696960,MetroVancouver,Positive
#BOYCOTTBELL,2021-02-09 17:34:42.826380032,MetroVancouver,Negative
"@MMadryga Always good to prepare just in case, that's true. And I think Mark is the best one to listen to as well.\u2026 https://t.co/IQUAs5s2Fx",2021-02-09 17:34:47.228427776,MetroVancouver,Positive
\u2639\ufe0f like what in the fuck,2021-02-09 17:34:47.231961088,MetroVancouver,Negative
#iAM if you\u2019re watching ME intently the \u2018IS\u2019 #futureofworks #digitaltransformation #IoT #ai #machinelearning\u2026 https://t.co/hj9yttQE6D,2021-02-09 17:35:00.891187968,MetroVancouver,Positive
@RoadblocksBC HOV check 202 on-ramp eastbound hwy 1 Langley,2021-02-09 17:35:26.932270080,MetroVancouver,Negative
Feel for you and the team! Sad news for us listeners. All the best Jeff. \u2639\ufe0f,2021-02-09 17:35:28.506171904,MetroVancouver,Negative
@brian_sebor @BanGaoRen @RomeUnholy I earned those checks. They ain't free. BTW you notice how my opinion lines up\u2026 https://t.co/WfzbR0Q8Ur,2021-02-09 17:35:31.012089856,MetroVancouver,Positive
https://t.co/4fUdy0ByJY,2021-02-09 17:35:31.944457984,MetroVancouver,Positive
@Skinny_Larry No effn\u2019 doubt,2021-02-09 17:35:39.380491008,MetroVancouver,Negative
https://t.co/qgH8RQXgGZ,2021-02-09 17:36:00.871085056,MetroVancouver,Positive
@slipperyhero DeJoy is double dipping. Taking a salary and paying his company. Who wouldn\u2019t want that gig?,2021-02-09 17:36:15.047534080,MetroVancouver,Negative
@danihuntley Now \u201cThe Weekend\u201d is playing so not so bad. \u2639\ufe0f,2021-02-09 17:36:17.224819968,MetroVancouver,Negative
@ChefSperlz Me fucking to #BOYCOTTBELL,2021-02-09 17:36:25.416649216,MetroVancouver,Negative
@DocScotch YEP,2021-02-09 17:36:42.176728064,MetroVancouver,Negative
Acho que ficam me chamando de maconheira negativamente pq t\xe3o com inveja de continuar fumando prensado paulista enq\u2026 https://t.co/8uJy4sVBHg,2021-02-09 17:36:42.304435968,MetroVancouver,Positive
This morning's milk for #tea takes me back to my grandparent's house. https://t.co/EKo4gML25z,2021-02-09 17:36:49.967015936,MetroVancouver,Positive
